matcher,sequence,pairs_processed,pairs_failed_matching,pairs_failed_homography_estimation,average_reprojection_error,total_time_s
HomoMatcherLite,v_cartooncity,5,0,0,0.7584388792514801,1.768338680267334
RoMA,v_charing,5,0,0,4.822552132606506,20.9999680519104
HomoMatcherLite,v_charing,5,0,0,11.708837413787842,8.746495008468628
RoMA,v_churchill,5,0,0,0.7275062084197998,21.130789518356323
HomoMatcherLite,v_churchill,5,0,0,1.0199373841285706,1.6616871356964111
RoMA,v_circus,5,0,0,1.3762562900781632,20.897346019744873
HomoMatcherLite,v_circus,5,0,0,2.443314480781555,8.548668622970581
RoMA,v_coffeehouse,5,0,0,1.0065434336662293,21.54670763015747
HomoMatcherLite,v_coffeehouse,5,0,0,3.0557679414749144,12.12390923500061
RoMA,v_colors,5,0,0,1.9616912484169007,21.647216320037842
HomoMatcherLite,v_colors,5,0,0,181.9526645541191,15.758815050125122
RoMA,v_courses,5,0,0,2.4738537311553954,21.950647592544556
HomoMatcherLite,v_courses,5,0,0,3.9837191104888916,3.069502115249634
RoMA,v_dirtywall,5,0,0,0.39060316383838656,21.066677808761597
HomoMatcherLite,v_dirtywall,5,0,0,0.3141083210706711,2.1330668926239014
RoMA,v_dogman,5,0,0,1.8899718880653382,20.76393175125122
HomoMatcherLite,v_dogman,5,0,0,7.206519031524659,1.160905361175537
RoMA,v_eastsouth,5,0,0,0.5268552303314209,20.587087631225586
HomoMatcherLite,v_eastsouth,5,0,0,102.27498797178268,1.334707260131836
RoMA,v_feast,5,0,0,1.0241809010505676,20.80887246131897
HomoMatcherLite,v_feast,5,0,0,1.6640756130218506,23.572515726089478
RoMA,v_fest,5,0,0,0.5278702497482299,39.0761501789093
HomoMatcherLite,v_fest,5,0,0,2.7099509239196777,4.086740493774414
RoMA,v_gardens,5,0,0,0.5791558176279068,21.33007550239563
HomoMatcherLite,v_gardens,5,0,0,2.3177902460098267,2.0454752445220947
RoMA,v_grace,5,0,0,0.47264979779720306,20.995278358459473
HomoMatcherLite,v_grace,5,0,0,0.8772393435239791,12.991231679916382
RoMA,v_graffiti,5,0,0,0.6418869316577911,21.332589387893677
HomoMatcherLite,v_graffiti,5,0,0,1.3967464566230774,1.228342056274414
RoMA,v_home,5,0,0,0.9318890571594238,20.95301914215088
HomoMatcherLite,v_home,5,0,0,1.9569359302520752,1.939969539642334
RoMA,v_laptop,5,0,0,0.42808244228363035,20.76377773284912
HomoMatcherLite,v_laptop,5,0,0,508.9085598707199,1.1666827201843262
RoMA,v_london,5,0,0,0.21918912827968598,20.991928577423096
HomoMatcherLite,v_london,5,0,0,2.930598187446594,40.27607822418213
RoMA,v_machines,5,0,0,1.9784316569566727,47.868480920791626
HomoMatcherLite,v_machines,5,0,0,2.4559444904327394,2.0352327823638916
RoMA,v_man,5,0,0,2.954173731803894,20.84988045692444
HomoMatcherLite,v_man,5,0,0,4.971195316314697,6.805752277374268
RoMA,v_maskedman,5,0,0,1.806619656085968,21.097038984298706
HomoMatcherLite,v_maskedman,5,0,0,2.722933530807495,1.493377447128296
RoMA,v_pomegranate,5,0,0,1.1470695912837983,20.817240476608276
HomoMatcherLite,v_pomegranate,5,0,0,1.4863327622413636,40.715593338012695
RoMA,v_posters,5,0,0,0.8491135716438294,38.00124788284302
HomoMatcherLite,v_posters,5,0,0,1.8903290271759032,7.7596354484558105
RoMA,v_samples,5,0,0,0.27161656618118285,21.212254285812378
HomoMatcherLite,v_samples,5,0,0,0.43098617196083067,11.691486835479736
RoMA,v_soldiers,5,0,0,0.8742413610219956,21.388348817825317
HomoMatcherLite,v_soldiers,5,0,0,3.499611973762512,35.310368061065674
RoMA,v_strand,5,0,0,2.6060691237449647,42.21216630935669
HomoMatcherLite,v_strand,5,0,0,3.103232407569885,6.9961700439453125
RoMA,v_sunseason,5,0,0,0.37252364605665206,21.12571954727173
HomoMatcherLite,v_sunseason,5,0,0,0.46706373244524,13.011937141418457
RoMA,v_tabletop,5,0,0,0.5889545053243637,22.311153888702393
HomoMatcherLite,v_tabletop,5,0,0,2.3035418033599853,2.002742052078247
RoMA,v_talent,5,0,0,0.5132777869701386,21.237687587738037
HomoMatcherLite,v_talent,5,0,0,3.272454357147217,46.29841685295105
RoMA,v_tempera,5,0,0,0.421713525056839,39.42157173156738
HomoMatcherLite,v_tempera,5,0,0,1.8460665941238403,1.9836037158966064
RoMA,v_there,5,0,0,71.09946021437645,21.154748678207397
HomoMatcherLite,v_there,5,0,0,11932.155661028624,12.614913702011108
RoMA,v_underground,5,0,0,0.5025864392518997,21.510031700134277
HomoMatcherLite,v_underground,5,0,0,3.41994531750679,26.74648928642273
RoMA,v_vitro,5,0,0,0.36637178659439085,44.06766867637634
HomoMatcherLite,v_vitro,5,0,0,1.7784111499786377,2.0519211292266846
RoMA,v_wall,5,0,0,0.9997951507568359,20.929587602615356
HomoMatcherLite,v_wall,5,0,0,2.392657518386841,1.6313183307647705
RoMA,v_wapping,5,0,0,0.9900992959737778,20.931408405303955
HomoMatcherLite,v_wapping,5,0,0,3.2017889738082888,6.612978219985962
RoMA,v_war,5,0,0,2.375544285774231,21.08285427093506
HomoMatcherLite,v_war,5,0,0,3.016527247428894,2.075665235519409
RoMA,v_weapons,5,0,0,0.7100698471069335,20.840660572052002
HomoMatcherLite,v_weapons,5,0,0,2.6245248794555662,34.03113889694214
RoMA,v_woman,5,0,0,0.7376640498638153,39.48668074607849
HomoMatcherLite,v_woman,5,0,0,0.7518723666667938,1.7877833843231201
RoMA,v_wormhole,5,0,0,1.0477477848529815,20.748293161392212
HomoMatcherLite,v_wormhole,5,0,0,4.481418490409851,1.5496468544006348
RoMA,v_wounded,5,0,0,2.4200573563575745,20.983015298843384
HomoMatcherLite,v_wounded,5,0,0,6.19746618270874,6.59451150894165
RoMA,v_yard,5,0,0,0.8315380781888961,21.484590530395508
HomoMatcherLite,v_yard,5,0,0,2.147182655334473,2.1023716926574707
RoMA,v_yuri,5,0,0,5.199455213546753,21.259773015975952
HomoMatcherLite,v_yuri,5,0,0,6.2451385974884035,47.33593153953552
